,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
381,19,473,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0,80,0,1
382,19,473,1165,710,800,67,119,181,1232,18,243,153,282,261,435,2000,3492,10,36473,2026,1,0,80,0,1
383,12,234,1392,870,1177,35,17,170,1427,14,494,280,531,508,811,4473,7289,7,54850,3047,2,0,40,0,1
384,62,1372,773,419,590,28,0,166,801,10,204,113,217,214,330,1598,2554,5,13587,754,0,0,282,0,1
385,62,1372,421,273,302,44,34,57,465,17,81,59,107,98,166,583,1098,11,12329,684,0,0,282,0,1
409,9,297,182,127,129,0,0,53,182,5,39,21,42,44,63,217,343,2,926,51,0,0,51,0,1
410,43,971,1392,870,1177,35,17,170,1427,14,494,280,531,508,811,4473,7289,7,54850,3047,2,0,208,0,1
411,40,1319,773,419,590,28,0,166,801,10,204,113,217,214,330,1598,2554,5,13587,754,0,0,283,0,1
435,1,28,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0,5,0,1
436,1,28,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0,5,0,1
437,1,28,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
438,1,28,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
441,1,28,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
442,1,28,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
443,1,28,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0,5,0,1
445,1,28,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
447,1,28,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
448,1,28,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
450,1,28,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,0,5,0,1
451,1,28,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,0,5,0,1
452,307,7640,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,2672,0,1
453,307,7640,669,365,481,22,61,110,691,15,103,63,122,118,185,747,1273,8,11311,628,0,0,2672,0,1
477,25,593,1455,414,1257,16,76,112,1471,5,41,23,46,46,69,231,381,2,1069,59,0,0,2394,0,1
518,71,1529,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,0,240,0,1
519,71,1529,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,0,240,0,1
520,71,1529,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
521,71,1529,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
524,71,1529,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
525,71,1529,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,1
526,71,1529,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,0,240,0,1
